Date,Issue code,Issue name,Quantity Net short position,Quantity No.of listed shares,Amount Net short position,Amount Market cap,Proportion
2023-08-01,299660,Cellid,0,"9,731,192",0,"61,793,069,200",0.00
2023-08-01,268600,Cellivery,"1,511,416","36,667,845","10,096,258,880","244,941,204,600",4.12
2023-08-01,091990,Celltrion Healthcare,"1,692,181","164,459,910","112,699,254,600","10,953,030,006,000",1.03
2023-08-01,068760,Celltrionph,"1,034,347","39,609,168","93,298,099,400","3,572,746,953,600",2.61
2023-08-01,004650,Changhae Ethanol,0,"9,190,885",0,"92,460,303,100",0.00
2023-08-01,220260,Chemtros,0,"26,558,307",0,"208,748,293,020",0.00
2023-08-01,066360,Cherrybro,0,"46,873,305",0,"75,044,161,305",0.00
2023-08-01,033100,CheryongElec,"87,056","16,062,409","1,823,823,200","336,507,468,550",0.54
2023-08-01,147830,CheryongInd,0,"20,000,000",0,"87,900,000,000",0.00
2023-08-01,034940,ChoA Pharm.,"69,950","30,979,827","128,078,450","56,724,063,237",0.23
2023-08-01,131100,Chorokbaem E&M,0,"28,048,252",0,"56,657,469,040",0.00
2023-08-01,278280,Chunbo,"274,523","10,000,000","52,049,560,800","1,896,000,000,000",2.75
2023-08-01,045520,Clean & Science,"21,542","6,500,000","147,778,120","44,590,000,000",0.33
2023-08-01,352770,Clinomics,0,"13,620,141",0,"63,742,259,880",0.00
2023-08-01,036170,Cloud Air,"121,338","61,365,626","127,647,576","64,556,638,552",0.20
2023-08-01,045970,CoAsia,0,"26,314,876",0,"249,201,875,720",0.00
2023-08-01,196450,CoAsia CM,0,"41,232,626",0,"69,147,113,802",0.00
2023-08-01,047770,Codes Combine,0,"37,842,602",0,"76,442,056,040",0.00
2023-08-01,900310,Coloray,0,"64,041,675",0,"79,731,885,375",0.00
2023-08-01,063080,Com2uS Holdings,"8,526","6,595,192","284,768,400","220,279,412,800",0.13
2023-08-01,223310,Commerce miner,0,"15,730,371",0,"30,878,718,273",0.00
2023-08-01,119860,Connectwave,"420,208","46,747,183","4,689,521,280","521,698,562,280",0.90
2023-08-01,104540,Corentec,0,"12,757,370",0,"156,022,635,100",0.00
2023-08-01,082660,Cosnine,0,"83,925,453",0,"143,008,971,912",0.00
2023-08-01,110790,CreaS F&C,"64,123","11,715,480","1,112,534,050","203,263,578,000",0.55
2023-08-01,096240,Creverse,0,"11,543,764",0,"191,857,357,680",0.00
2023-08-01,041460,Crosscert,"39,179","19,000,000","173,954,760","84,360,000,000",0.21
2023-08-01,114120,CrucialTec,0,"2,296,131",0,"24,913,021,350",0.00
2023-08-01,900250,Crystal New Material,"48,466","95,891,039","127,707,910","252,672,887,765",0.05
2023-08-01,083790,CrystalGenomics,"153,156","76,894,182","573,569,220","287,968,711,590",0.20
2023-08-01,356890,CyberOne,0,"4,756,530",0,"45,424,861,500",0.00
2023-08-01,217330,Cytogen,"12,799","18,283,830","205,551,940","293,638,309,800",0.07
2023-08-01,263720,D&C MEDIA,"8,388","12,275,111","153,752,040","225,002,784,630",0.07
2023-08-01,290670,DAE BO MAGNETIC,0,"7,857,660",0,"378,739,212,000",0.00
2023-08-01,045390,DAEATI,"59,361","70,473,377","188,767,980","224,105,338,860",0.08
2023-08-01,078600,DAEJOO,"477,143","15,480,593","46,903,156,900","1,521,742,291,900",3.08
2023-08-01,120240,DAEJUNG C&M,0,"7,190,391",0,"125,616,130,770",0.00
2023-08-01,317850,DAEMO,0,"8,324,420",0,"97,145,981,400",0.00
2023-08-01,007720,DAEMYUNG SONOSEASON,0,"100,800,450",0,"65,520,292,500",0.00
2023-08-01,048470,DAESCO,0,"10,000,000",0,"38,750,000,000",0.00
2023-08-01,007680,DAEWON,0,"13,446,474",0,"82,426,885,620",0.00
2023-08-01,048910,DAEWON MEDIA,"19,254","12,578,946","263,972,340","172,457,349,660",0.15
2023-08-01,131220,DAIHAN Scientific,0,"7,454,490",0,"49,125,089,100",0.00
2023-08-01,064260,DANAL,"2,307,113","68,949,040","8,686,280,445","259,593,135,600",3.35
2023-08-01,032190,DAOU DATA,"58,245","38,300,000","811,352,850","533,519,000,000",0.15
2023-08-01,066900,DAP,0,"22,744,503",0,"79,946,928,045",0.00
2023-08-01,039560,DASANNetwork,"56,402","39,505,981","274,959,750","192,591,657,375",0.14
2023-08-01,196490,DAT,0,"32,598,736",0,"125,505,133,600",0.00
2023-08-01,263800,DATASOLUTION,0,"16,211,380",0,"91,918,524,600",0.00
2023-08-01,068240,DAWONSYS,"703,419","34,263,437","10,051,857,510","489,624,514,730",2.05
2023-08-01,108380,DAYANG,"13,880","9,567,333","179,468,400","123,705,615,690",0.15
2023-08-01,404950,DB Finance No.10 SPAC,0,"5,840,000",0,"12,380,800,000",0.00
2023-08-01,456440,DB Finance No.11 SPAC,0,"5,315,000",0,"11,055,200,000",0.00
2023-08-01,367360,DB Finance No.9 SPAC,0,"4,840,000",0,"10,285,000,000",0.00
2023-08-01,099410,DBSM,0,"13,541,002",0,"39,472,020,830",0.00
2023-08-01,033130,DChosun,0,"37,115,267",0,"76,086,297,350",0.00
2023-08-01,079810,DE&T,"11,552","16,009,994","384,681,600","533,132,800,200",0.07
2023-08-01,376300,DEARU,"475,073","23,738,406","17,173,888,950","858,143,376,900",2.00
2023-08-01,315640,DEEPNOID,0,"9,317,134",0,"184,106,567,840",0.00
2023-08-01,261200,DENTIS,0,"14,824,320",0,"187,527,648,000",0.00
2023-08-01,263600,DERKWOO ELECTRONICS,0,"15,930,310",0,"160,736,827,900",0.00
2023-08-01,067990,DEUTSCH MOTORS INC.,0,"32,181,550",0,"165,091,351,500",0.00
2023-08-01,043360,DGI,0,"9,000,000",0,"25,965,000,000",0.00
2023-08-01,060900,DGP,0,"24,062,057",0,"104,429,327,380",0.00
2023-08-01,067080,DH PHARM,"16,871","18,616,650","135,474,130","149,491,699,500",0.09
2023-08-01,025440,DHAUTOWARE,0,"28,500,000",0,"75,382,500,000",0.00
2023-08-01,054670,DHNP,"39,180","14,354,920","338,907,000","124,170,058,000",0.27
2023-08-01,078590,DIAC,"637,773","133,006,958","1,517,899,740","316,556,560,040",0.48
2023-08-01,020180,DIC,0,"38,428,915",0,"41,580,086,030",0.00
2023-08-01,131180,DILLI,0,"29,350,000",0,"36,775,550,000",0.00
2023-08-01,039840,DIO,"15,962","15,881,755","498,014,400","495,510,756,000",0.10
2023-08-01,110990,DIT,"9,880","18,900,000","107,395,600","205,443,000,000",0.05
2023-08-01,263020,DK&D,0,"15,526,404",0,"49,762,124,820",0.00
2023-08-01,105740,DK-Lok,"11,453","9,680,913","136,176,170","115,106,055,570",0.12
2023-08-01,290550,DKT,0,"18,668,371",0,"181,269,882,410",0.00
2023-08-01,389260,DMENG,0,"17,050,000",0,"432,217,500,000",0.00
2023-08-01,016670,DMOA,0,"101,858,024",0,"39,724,629,360",0.00
2023-08-01,068790,DMS,0,"24,573,061",0,"135,889,027,330",0.00
2023-08-01,127120,DNALINK,0,"17,093,692",0,"54,187,003,640",0.00
2023-08-01,092070,DNF,"10,034","11,571,858","258,375,500","297,975,343,500",0.09
2023-08-01,088130,DONG A ELTEK,0,"10,662,938",0,"77,412,929,880",0.00
2023-08-01,041930,DONGAHWASUNG,"17,777","15,800,000","150,926,730","134,142,000,000",0.11
2023-08-01,109860,DONGIL METAL,0,"9,100,000",0,"107,562,000,000",0.00
2023-08-01,005290,DONGJIN,"1,239,241","51,414,494","50,622,994,850","2,100,282,079,900",2.41
2023-08-01,005160,DONGKUK,0,"54,244,482",0,"347,164,684,800",0.00
2023-08-01,075970,DONGKUK R&S,"27,393","18,400,000","116,283,285","78,108,000,000",0.15
2023-08-01,033500,DONGSUNG FINETEC,"23,650","29,989,494","351,439,000","445,643,880,840",0.08
2023-08-01,025900,DONGWHA ENTERPRISE,"108,972","20,215,395","4,451,506,200","825,798,885,750",0.54
2023-08-01,088910,DONGWOO FARM TO TABLE,0,"25,831,764",0,"70,262,398,080",0.00
2023-08-01,094170,DONGWOON ANATECH,0,"18,162,522",0,"602,995,730,400",0.00
2023-08-01,079960,DONGYANG E&P,0,"7,860,000",0,"170,562,000,000",0.00
2023-08-01,131970,DOOSAN TESNA,"586,453","14,759,577","27,680,581,600","696,652,034,400",3.97
2023-08-01,263690,DRGEM,0,"11,325,610",0,"127,413,112,500",0.00
2023-08-01,214680,DRTECH,"113,502","72,325,687","347,883,630","221,678,230,655",0.16
2023-08-01,241520,DSC Investment,"46,015","27,811,403","150,469,050","90,943,287,810",0.17
2023-08-01,065150,DSEN,0,"125,282,405",0,"39,463,957,575",0.00
2023-08-01,077360,DSHM,0,"45,437,002",0,"400,299,987,620",0.00
2023-08-01,109740,DSK,0,"27,024,910",0,"140,799,781,100",0.00
2023-08-01,036480,DSMBIO,0,"3,800,000",0,"40,014,000,000",0.00
2023-08-01,141020,DSNL,0,"11,700,533",0,"43,701,490,755",0.00
2023-08-01,096350,DSOL,0,"163,761,009",0,"109,556,115,021",0.00
